geo_id,name,median_rent,median_income,total_renters,pct_burdened,tract,county,rent_to_income
1400000US17031210100,Census Tract 2101; Cook County; Illinois,1817.0,115018.0,890,34.6,2101,Cook County,19.0
1400000US17031210400,Census Tract 2104; Cook County; Illinois,1492.0,71183.0,651,58.2,2104,Cook County,25.2
1400000US17031210501,Census Tract 2105.01; Cook County; Illinois,1635.0,76379.0,978,43.8,2105.01,Cook County,25.7
1400000US17031210502,Census Tract 2105.02; Cook County; Illinois,1506.0,78881.0,977,39.7,2105.02,Cook County,22.9
1400000US17031210601,Census Tract 2106.01; Cook County; Illinois,1594.0,84271.0,442,29.6,2106.01,Cook County,22.7
1400000US17031210602,Census Tract 2106.02; Cook County; Illinois,1660.0,87571.0,935,34.4,2106.02,Cook County,22.7
1400000US17031210700,Census Tract 2107; Cook County; Illinois,1806.0,89196.0,877,40.4,2107,Cook County,24.3
1400000US17031210800,Census Tract 2108; Cook County; Illinois,1785.0,104701.0,323,38.4,2108,Cook County,20.5
1400000US17031210900,Census Tract 2109; Cook County; Illinois,1779.0,101288.0,830,24.2,2109,Cook County,21.1
1400000US17031220300,Census Tract 2203; Cook County; Illinois,2103.0,101875.0,645,31.3,2203,Cook County,24.8
